country,ISO3C,imfcode,year,flow,USD,EUR,Home,Other,Unclassified,Other_Excl_USDEUR
Estonia,EST,939,2012,Import,19.372802734375,58.92500305175781,0.0,21.702194213867188,0.0,21.702194213867188
Estonia,EST,939,2013,Export,8.422003746032715,67.95552825927734,0.0,23.622467041015625,0.0,23.622467041015625
Estonia,EST,939,2013,Import,15.905174255371094,61.39603042602539,0.0,22.698795318603516,0.0,22.698795318603516
Estonia,EST,939,2014,Export,8.778641700744629,68.0478744506836,0.0,23.173484802246094,0.0,23.173484802246094
Estonia,EST,939,2014,Import,17.901500701904297,59.70595169067383,0.0,22.392547607421875,0.0,22.392547607421875
Estonia,EST,939,2016,Export,9.602941513061523,67.2815933227539,0.0,23.11546516418457,0.0,23.11546516418457
Estonia,EST,939,2016,Import,16.463024139404297,60.80893325805664,0.0,22.728042602539062,0.0,22.728042602539062
Estonia,EST,939,2017,Export,10.328573226928711,67.33153533935547,0.0,22.33989143371582,0.0,22.33989143371582
Estonia,EST,939,2017,Import,16.36479377746582,61.11272048950195,0.0,22.522485733032227,0.0,22.522485733032227
Estonia,EST,939,2018,Export,16.166271209716797,62.42398452758789,0.0,21.409744262695312,0.0,21.409744262695312
Estonia,EST,939,2018,Import,19.542722702026367,58.79229736328125,0.0,21.664979934692383,0.0,21.664979934692383
Estonia,EST,939,2019,Export,12.941109657287598,65.11357116699219,0.0,21.94532012939453,0.0,21.94532012939453
Estonia,EST,939,2019,Import,17.977434158325195,59.83697509765625,0.0,22.185590744018555,0.0,22.185590744018555
Eswatini,SWZ,734,2016,Export,35.0960757001689,14.5314988016469,0.0,50.3724254981842,0.0,50.3724250793457
Eswatini,SWZ,734,2016,Import,36.1304477180131,2.48676595135134,0.0,61.3827863306355,0.0,61.38278579711914
Eswatini,SWZ,734,2017,Export,36.3560205816575,12.3581909168506,0.0,51.2857885014919,0.0,51.285789489746094
Eswatini,SWZ,734,2017,Import,32.0064858350528,2.37294308712478,0.0,65.6205710778224,0.0,65.62056732177734
Eswatini,SWZ,734,2018,Export,49.9947987712855,5.32941064173482,0.0,44.6757905869797,0.0,44.67578887939453
Eswatini,SWZ,734,2018,Import,30.9110369504942,3.75395163212185,0.0,65.3350114173839,0.0,65.33501434326172
Fiji,FJI,819,2016,Export,1.0,0.0,99.0,0.0,0.0,99.0
Fiji,FJI,819,2016,Import,45.4,2.3,18.2,34.10000000000001,0.0,52.29999923706055
Fiji,FJI,819,2017,Export,1.0,1.0,98.0,0.0,0.0,98.0
Fiji,FJI,819,2017,Import,46.9,2.2,20.6,30.299999999999997,0.0,50.900001525878906
Fiji,FJI,819,2018,Export,21.0,1.0,77.0,1.0,0.0,78.0
Fiji,FJI,819,2018,Import,47.6,1.7,21.2,29.5,0.0,50.70000076293945
Fiji,FJI,819,2019,Export,5.0,1.0,94.0,0.0,0.0,94.0
Fiji,FJI,819,2019,Import,45.2,2.5,23.5,28.799999999999997,0.0,52.29999923706055
Finland,FIN,172,2006,Export,26.069355010986328,64.6214370727539,0.0,9.309207916259766,0.0,9.309207916259766
Finland,FIN,172,2006,Import,29.02723503112793,61.84438705444336,0.0,9.128377914428711,0.0,9.128377914428711
Finland,FIN,172,2010,Export,25.916982650756836,65.40563201904297,0.0,8.677385330200195,0.0,8.677385330200195
Finland,FIN,172,2010,Import,26.105684280395508,66.39964294433594,0.0,7.494672775268555,0.0,7.494672775268555
Finland,FIN,172,2012,Export,18.911779403686523,66.09575653076172,0.0,14.992464065551758,0.0,14.992464065551758
Finland,FIN,172,2012,Import,32.12387466430664,60.29301834106445,0.0,7.583106994628906,0.0,7.583106994628906
Finland,FIN,172,2014,Export,19.964982986450195,70.93701934814453,0.0,9.097997665405273,0.0,9.097997665405273
Finland,FIN,172,2014,Import,29.341550827026367,62.70111846923828,0.0,7.957330703735352,0.0,7.957330703735352
Finland,FIN,172,2016,Export,22.753555297851562,66.78797912597656,0.0,10.458465576171875,0.0,10.458465576171875
Finland,FIN,172,2016,Import,24.733850479125977,66.50519561767578,0.0,8.760953903198242,0.0,8.760953903198242
Finland,FIN,172,2017,Export,23.073177337646484,66.7634048461914,0.0,10.16341781616211,0.0,10.16341781616211
Finland,FIN,172,2017,Import,25.12230682373047,66.4294204711914,0.0,8.448272705078125,0.0,8.448272705078125
Finland,FIN,172,2018,Export,23.892616271972656,65.77561950683594,0.0,10.331764221191406,0.0,10.331764221191406
Finland,FIN,172,2018,Import,27.038137435913086,64.42398071289062,0.0,8.537881851196289,0.0,8.537881851196289
Finland,FIN,172,2019,Export,22.747968673706055,66.587646484375,0.0,10.664384841918945,0.0,10.664384841918945
Finland,FIN,172,2019,Import,26.105661392211914,65.15752410888672,0.0,8.736814498901367,0.0,8.736814498901367
France,FRA,132,1999,Export,17.554719924926758,75.12669372558594,0.0,7.318586349487305,0.0,7.318586349487305
France,FRA,132,1999,Import,21.161014556884766,75.90967559814453,0.0,2.929309844970703,0.0,2.929309844970703
France,FRA,132,2000,Export,20.98923683166504,75.61109924316406,0.0,3.3996639251708984,0.0,3.3996639251708984
France,FRA,132,2000,Import,20.964391708374023,74.8604965209961,0.0,4.175111770629883,0.0,4.175111770629883
France,FRA,132,2001,Export,20.629491806030273,75.2446060180664,0.0,4.12590217590332,0.0,4.12590217590332
France,FRA,132,2001,Import,20.154937744140625,74.68504333496094,0.0,5.1600189208984375,0.0,5.1600189208984375
France,FRA,132,2002,Export,18.48077964782715,75.27571105957031,0.0,6.243509292602539,0.0,6.243509292602539
France,FRA,132,2002,Import,19.41242790222168,74.57487487792969,0.0,6.012697219848633,0.0,6.012697219848633
France,FRA,132,2003,Export,17.58821678161621,75.49182891845703,0.0,6.919954299926758,0.0,6.919954299926758
France,FRA,132,2003,Import,19.21044158935547,77.05419158935547,0.0,3.7353668212890625,0.0,3.7353668212890625
France,FRA,132,2004,Export,19.09292984008789,75.19384002685547,0.0,5.713230133056641,0.0,5.713230133056641
France,FRA,132,2004,Import,19.429224014282227,77.26278686523438,0.0,3.3079891204833984,0.0,3.3079891204833984
France,FRA,132,2005,Export,18.795515060424805,74.77179718017578,0.0,6.432687759399414,0.0,6.432687759399414
France,FRA,132,2005,Import,19.92452049255371,76.79074096679688,0.0,3.284738540649414,0.0,3.284738540649414
France,FRA,132,2006,Export,18.260522842407227,75.91373443603516,0.0,5.825742721557617,0.0,5.825742721557617
France,FRA,132,2006,Import,19.71478843688965,76.40199279785156,0.0,3.883218765258789,0.0,3.883218765258789
France,FRA,132,2007,Export,18.028261184692383,76.17518615722656,0.0,5.796552658081055,0.0,5.796552658081055
France,FRA,132,2007,Import,19.060867309570312,77.0270767211914,0.0,3.9120559692382812,0.0,3.9120559692382812
France,FRA,132,2008,Export,19.310157775878906,74.5707778930664,0.0,6.1190643310546875,0.0,6.1190643310546875
France,FRA,132,2008,Import,19.946895599365234,76.2171630859375,0.0,3.8359413146972656,0.0,3.8359413146972656
France,FRA,132,2009,Export,22.003358840942383,75.70462799072266,0.0,2.292013168334961,0.0,2.292013168334961
France,FRA,132,2009,Import,20.774417877197266,76.81092071533203,0.0,2.414661407470703,0.0,2.414661407470703
France,FRA,132,2010,Export,22.351600646972656,75.18753051757812,0.0,2.4608688354492188,0.0,2.4608688354492188
France,FRA,132,2010,Import,21.038373947143555,76.24819946289062,0.0,2.7134265899658203,0.0,2.7134265899658203
France,FRA,132,2011,Export,20.652570724487305,75.3878173828125,0.0,3.9596118927001953,0.0,3.9596118927001953
France,FRA,132,2011,Import,24.11663818359375,74.0291748046875,0.0,1.85418701171875,0.0,1.85418701171875
France,FRA,132,2012,Export,22.693492889404297,72.91582489013672,0.0,4.390682220458984,0.0,4.390682220458984
France,FRA,132,2012,Import,24.281959533691406,73.79327392578125,0.0,1.9247665405273438,0.0,1.9247665405273438
France,FRA,132,2013,Export,22.857105255126953,72.7681884765625,0.0,4.374706268310547,0.0,4.374706268310547
France,FRA,132,2013,Import,24.29864501953125,74.24253845214844,0.0,1.4588165283203125,0.0,1.4588165283203125
France,FRA,132,2014,Export,22.946428298950195,72.6020736694336,0.0,4.451498031616211,0.0,4.451498031616211
France,FRA,132,2014,Import,23.195783615112305,75.40483856201172,0.0,1.3993778228759766,0.0,1.3993778228759766
France,FRA,132,2015,Export,24.894439697265625,70.64847564697266,0.0,4.457084655761719,0.0,4.457084655761719
France,FRA,132,2015,Import,22.296510696411133,75.85942077636719,0.0,1.8440685272216797,0.0,1.8440685272216797
France,FRA,132,2016,Export,24.616634368896484,70.6970443725586,0.0,4.686321258544922,0.0,4.686321258544922
France,FRA,132,2016,Import,21.587263107299805,76.59312438964844,0.0,1.8196125030517578,0.0,1.8196125030517578
France,FRA,132,2017,Export,21.29043197631836,73.59114837646484,0.0,5.118419647216797,0.0,5.118419647216797
France,FRA,132,2017,Import,22.299259185791016,75.78699493408203,0.0,1.9137458801269531,0.0,1.9137458801269531
France,FRA,132,2018,Export,21.228242874145508,73.55970764160156,0.0,5.21204948425293,0.0,5.21204948425293
France,FRA,132,2018,Import,23.139524459838867,74.71870422363281,0.0,2.1417713165283203,0.0,2.1417713165283203
France,FRA,132,2019,Export,22.007596969604492,72.31124877929688,0.0,5.681154251098633,0.0,5.681154251098633
France,FRA,132,2019,Import,23.36662483215332,74.23680114746094,0.0,2.396574020385742,0.0,2.396574020385742
Gambia,GMB,648,2012,Export,26.07158,6.086732,6.832821,61.008866999999995,0.0,67.84169006347656
Gambia,GMB,648,2013,Export,21.17011,5.037792,8.8704,64.92169799999999,0.0,73.79209899902344
Gambia,GMB,648,2014,Export,34.80898,1.194021,6.68165,57.315349000000005,0.0,63.99699783325195
Gambia,GMB,648,2015,Export,29.28878,0.5248368,4.417348,65.7690352,0.0,70.18638610839844
Gambia,GMB,648,2016,Export,78.96322,1.033633,9.327067,10.676079999999999,0.0,20.00314712524414
Georgia,GEO,915,2010,Export,88.44353436650857,7.197407464890705,3.2678945780357074,1.0911635905650172,0.0,4.359058380126953
Georgia,GEO,915,2010,Import,76.19956807897583,20.09084375560929,1.061741315018382,2.6478468503965047,0.0,3.709588050842285
Georgia,GEO,915,2011,Export,87.08092622514587,9.931162600468653,2.3943915122384443,0.5935196621470311,0.0,2.9879112243652344
Georgia,GEO,915,2011,Import,77.10007663053631,19.2380602540832,0.2149961895741337,3.4468669258063613,0.0,3.661863088607788
Georgia,GEO,915,2012,Export,86.04822570971173,9.943292251040178,2.9684620317489006,1.0400200074991943,0.0,4.008481979370117
Georgia,GEO,915,2012,Import,78.57368727890298,18.263593539055808,0.38054582557982847,2.782173356461385,0.0,3.162719249725342
Georgia,GEO,915,2013,Export,88.65147969920665,8.072844941054292,2.416492003021628,0.8591833567174376,0.0,3.2756752967834473
Georgia,GEO,915,2013,Import,78.31885587241636,18.457655211714574,0.3878114683587556,2.8356774475103066,0.0,3.2234888076782227
Georgia,GEO,915,2014,Export,89.14542488429352,8.538737690317527,0.045166666571507245,2.2706707588174453,0.0,2.3158373832702637
Georgia,GEO,915,2014,Import,78.49032043185292,17.541465215983862,0.6120642508110457,3.3561501013521706,0.0,3.968214273452759
Georgia,GEO,915,2015,Export,88.9254175975421,8.85412798415761,,,0.0,2.220454454421997
Georgia,GEO,915,2015,Import,75.8702763754843,19.6900264607419,,,0.0,4.439697265625
Georgia,GEO,915,2016,Export,87.2837003389412,10.6128497199594,,,0.0,2.103450059890747
Georgia,GEO,915,2016,Import,70.820493989176,22.0969975279702,,,0.0,7.082508563995361
Georgia,GEO,915,2017,Export,82.6988803040085,12.0037486251709,,,0.0,5.297370910644531
Georgia,GEO,915,2017,Import,71.8278911291455,21.6486340273228,,,0.0,6.52347469329834
Georgia,GEO,915,2018,Export,86.098625511614,11.7253554183108,,,0.0,2.1760189533233643
Georgia,GEO,915,2018,Import,72.4040505588678,21.8375132132307,,,0.0,5.75843620300293
Georgia,GEO,915,2019,Export,88.1546840801003,9.38782705065704,,,0.0,2.457488775253296
Georgia,GEO,915,2019,Import,72.6685709769604,21.1441106719066,,,0.0,6.187318325042725
Germany,DEU,134,2002,Export,17.09047508239746,72.03886413574219,0.0,10.870660781860352,0.0,10.870660781860352
Germany,DEU,134,2002,Import,18.704071044921875,72.6592025756836,0.0,8.636726379394531,0.0,8.636726379394531
Germany,DEU,134,2003,Export,13.206524848937988,79.72441864013672,0.0,7.069056510925293,0.0,7.069056510925293
Germany,DEU,134,2003,Import,17.808795928955078,76.46507263183594,0.0,5.726131439208984,0.0,5.726131439208984
Germany,DEU,134,2004,Export,12.461601257324219,79.79793548583984,0.0,7.7404632568359375,0.0,7.7404632568359375
Germany,DEU,134,2004,Import,17.744670867919922,75.7979507446289,0.0,6.457378387451172,0.0,6.457378387451172
Germany,DEU,134,2005,Export,13.18842601776123,78.47913360595703,0.0,8.332440376281738,0.0,8.332440376281738
Germany,DEU,134,2005,Import,19.903581619262695,75.96548461914062,0.0,4.13093376159668,0.0,4.13093376159668
Germany,DEU,134,2006,Export,12.096098899841309,81.88398742675781,0.0,6.019913673400879,0.0,6.019913673400879
Germany,DEU,134,2006,Import,18.598798751831055,77.98509216308594,0.0,3.416109085083008,0.0,3.416109085083008
Germany,DEU,134,2007,Export,11.885077476501465,80.58212280273438,0.0,7.53279972076416,0.0,7.53279972076416
Germany,DEU,134,2007,Import,20.01121711730957,76.8149642944336,0.0,3.173818588256836,0.0,3.173818588256836
