"COUNTRY","INDICATOR","UNIT","FREQUENCY","TIME_PERIOD","OBS_VALUE"
"United States","Net errors and omissions, Adjusted using IMF accounting records","US dollar","Annual","2011","-61545244936.92948"
"United States","Net errors and omissions, Adjusted using IMF accounting records","US dollar","Annual","2012","-30848605729.33256"
"United States","Net errors and omissions, Adjusted using IMF accounting records","US dollar","Annual","2013","-54066287205.77654"
"United States","Net errors and omissions, Adjusted using IMF accounting records","US dollar","Annual","2014","79435473797.48249"
"United States","Net errors and omissions, Adjusted using IMF accounting records","US dollar","Annual","2015","29971434398.78882"
"United States","Net errors and omissions, Adjusted using IMF accounting records","US dollar","Annual","2016","40412897815.4444"
"United States","Net errors and omissions, Adjusted using IMF accounting records","US dollar","Annual","2017","-18029243524.99114"
"United States","Net errors and omissions, Adjusted using IMF accounting records","US dollar","Annual","2018","140392277776.3785"
"United States","Net errors and omissions, Adjusted using IMF accounting records","US dollar","Annual","2019","-109927903905.1012"
"United States","Net errors and omissions, Adjusted using IMF accounting records","US dollar","Annual","2020","-72848479882.21538"
"United States","Net errors and omissions, Adjusted using IMF accounting records","US dollar","Annual","2021","34489230773.7"
"United States","Net errors and omissions, Adjusted using IMF accounting records","US dollar","Annual","2022","117886051019.233"
"United States","Net errors and omissions, Adjusted using IMF accounting records","US dollar","Annual","2023","-138033260997.6753"
"United States","Net errors and omissions, Adjusted using IMF accounting records","US dollar","Annual","2024","53162690362.41476"
"United States","Current account balance (credit less debit)","US dollar","Annual","1970","2620000000"
"United States","Current account balance (credit less debit)","US dollar","Annual","1971","-980000000"
"United States","Current account balance (credit less debit)","US dollar","Annual","1972","-5260000000"
"United States","Current account balance (credit less debit)","US dollar","Annual","1973","7580000000"
"United States","Current account balance (credit less debit)","US dollar","Annual","1974","1700000000"
"United States","Current account balance (credit less debit)","US dollar","Annual","1975","17880000000"
"United States","Current account balance (credit less debit)","US dollar","Annual","1976","3840000000"
"United States","Current account balance (credit less debit)","US dollar","Annual","1977","-15100000000"
"United States","Current account balance (credit less debit)","US dollar","Annual","1978","-15747000000"
